loudness,speechiness,acousticness,liveness,valence
-3.881,0.0791,0.0014,0.582,0.289
-6.203,0.0615,0.0743,0.0348,0.687
-5.352,0.0467,0.0964,0.0788,0.663
-7.076,0.0245,0.462,0.062,0.572
-15.636,0.0322,0.516,0.122,0.344
-6.183,0.22,0.0541,0.429,0.532
-6.816,0.0395,0.0422,0.101,0.386
-13.203,0.347,0.00112,0.107,0.595
-4.325,0.18,0.0107,0.556,0.478
-8.365,0.0876,0.0465,0.0646,0.504
-4.556,0.0407,0.00466,0.242,0.577
-4.682,0.0382,0.00165,0.197,0.425
-5.299,0.186,0.16,0.0784,0.604
-6.596,0.0314,0.631,0.0886,0.172
-7.042,0.28,0.278,0.339,0.602
-3.295,0.0494,0.0875,0.226,0.484
-4.19,0.0356,0.00225,0.376,0.778
-5.966,0.0336,0.372,0.27,0.14
-8.244,0.199,0.0915,0.0898,0.611
-3.241,0.0766,0.0243,0.12,0.41
-4.606,0.0623,0.027,0.119,0.805
-5.284,0.0313,0.248,0.124,0.15
-4.914,0.0387,0.0181,0.111,0.491
-3.756,0.0292,0.000932,0.136,0.385
-11.617,0.108,0.088,0.081,0.166
-7.043,0.197,0.286,0.235,0.464
-6.408,0.0587,0.283,0.0708,0.382
-10.054,0.0241,0.459,0.151,0.369
-3.499,0.0675,0.129,0.0931,0.305
-3.489,0.359,0.0193,0.104,0.398
-10.02,0.0803,0.0065,0.158,0.464
-6.765,0.0577,0.00488,0.0746,0.353
-5.713,0.0449,0.225,0.112,0.664
-6.019,0.105,0.31,0.04,0.556
-5.354,0.0322,0.00206,0.113,0.382
-5.652,0.0247,0.00275,0.105,0.346
-4.253,0.0432,0.000343,0.548,0.462
-4.461,0.0393,0.266,0.109,0.646
-3.52,0.0281,0.0322,0.355,0.801
-5.119,0.0696,0.000769,0.188,0.369
-5.892,0.0707,0.284,0.405,0.758
-4.675,0.0685,0.106,0.0712,0.822
-5.562,0.0789,0.0584,0.0519,0.964
-4.637,0.382,0.0293,0.167,0.509
-13.609,0.0552,0.0541,0.34,0.777
-4.905,0.0361,0.004,0.413,0.527
-4.589,0.0336,0.0505,0.105,0.64
-6.62,0.37,0.0043,0.197,0.442
-4.81,0.0397,0.0261,0.121,0.787
-3.708,0.122,0.0714,0.0509,0.902
-6.45,0.0756,0.0176,0.658,0.386
-6.229,0.046,0.00121,0.169,0.443
-4.68,0.0993,0.189,0.3,0.835
-3.15,0.181,0.00937,0.752,0.744
-6.098,0.0506,0.0569,0.154,0.868
-4.525,0.229,0.0154,0.0862,0.518
-3.04,0.225,0.067,0.041,0.718
