artist,year
Justin Bieber,2012
Eminem,2013
Pitbull,2012
Selena Gomez,2013
P!nk,2012
Disclosure,2013
Flo Rida,2012
Kanye West,2013
Lana Del Rey,2013
Eminem,2013
Icona Pop,2013
Fall Out Boy,2013
Lorde,2013
Avicii,2012
Imagine Dragons,2012
One Direction,2013
Taylor Swift,2012
Arctic Monkeys,2013
Rudimental,2013
Klangkarussell,2014
Calvin Harris,2012
A$AP Rocky,2013
P!nk,2012
Ylvis,2013
Ellie Goulding,2014
Baauer,2013
Calvin Harris,2012
Katy Perry,2013
AWOLNATION,2011
Duke Dumont,2013
Jason Derulo,2013
Storm Queen,2014
Calvin Harris,2012
Katy Perry,2013
Wale,2013
Ciara,2013
Drake,2013
Birdy,2013
Bastille,2013
Olly Murs,2012
Katy Perry,2013
Blake Shelton,2013
Calvin Harris,2012
JAY-Z,2013
Bridgit Mendler,2012
The Saturdays,2013
Bastille,2013
One Direction,2013
Nelly,2013
Zedd,2012
Miley Cyrus,2013
Chris Brown,2013
Daft Punk,2013
Armin van Buuren,2013
Justin Timberlake,2013
Bruno Mars,2012
Of Monsters and Men,2012
Miley Cyrus,2013
